,age,nombre_payment,maturite,taux,montant,prime
0,40,1,1,0.025,1000,2.78021905036978
1,40,1,5,0.025,1000,15.750123457844662
2,40,1,10,0.025,1000,36.08504892861817
3,40,20,20,0.025,1000,6.488005414241601
4,40,5,30,0.025,1000,40.12665200764581
5,40,40,40,0.025,1000,13.81093278933832
6,20,1,1,0.015,1000,1.40349252096383
7,20,5,5,0.015,1000,1.5133642177184803
8,20,1,10,0.015,1000,14.234277088904427
9,20,20,20,0.015,1000,1.770828650206066
10,20,30,30,0.015,1000,2.43172465146939
11,20,30,40,0.015,1000,4.657671344808541
12,20,1,1,0.005,1000,1.417457620674964
13,20,5,5,0.005,1000,1.529058390497171
14,20,1,10,0.005,1000,15.026061628549337
15,20,5,20,0.005,1000,6.87809041676864
16,20,20,30,0.005,1000,3.6921537893928993
17,20,30,40,0.005,1000,5.3320938571294905
18,20,1,1,0.005,2000,2.834915241349928
19,20,1,5,0.005,2000,15.093920171433172
20,20,1,10,0.005,2000,30.052123257098675
21,20,5,20,0.005,2000,13.75618083353728
22,20,1,30,0.005,2000,138.78740755600055
23,20,1,40,0.005,2000,289.9669285253168
24,30,1,1,0.01,500,0.8288429996380269
25,30,1,5,0.01,500,4.415205421390595
26,30,5,10,0.01,500,2.0085252657145563
27,30,5,20,0.01,500,5.584905840822834
28,30,1,30,0.01,500,62.7393919372666
29,30,1,40,0.01,500,121.45963941369205
30,30,1,1,0.01,2000,3.3153719985521075
31,30,5,5,0.01,2000,3.6152604465094353
32,30,5,10,0.01,2000,8.034101062858225
33,30,1,20,0.01,2000,109.13075574475955
34,30,30,30,0.01,2000,10.073661263072768
35,30,20,40,0.01,2000,27.246168939777593
36,20,1,1,0.025,500,0.6948999555015838
37,20,1,5,0.025,500,3.55621247827867
38,20,5,10,0.025,500,1.421859156419285
39,20,1,20,0.025,500,13.68220460203906
40,20,20,30,0.025,500,1.542112459834142
41,20,40,40,0.025,500,1.732300446567316
42,50,1,1,0.005,4000,26.613501046618563
43,50,1,5,0.005,4000,156.71167157747078
44,50,5,10,0.005,4000,77.92602890857913
45,50,20,20,0.005,4000,60.789263913743476
46,50,1,30,0.005,4000,2071.73353096634
47,50,5,40,0.005,4000,649.391848018288
48,30,1,1,0.005,4000,6.663732773209658
49,30,5,5,0.005,4000,7.269814452478993
50,30,1,10,0.005,4000,80.8071422338117
51,30,20,20,0.005,4000,12.44234058690194
52,30,30,30,0.005,4000,20.82422814243154
53,30,20,40,0.005,4000,59.81562270373115
54,30,1,1,0.015,2000,3.2990401167860552
55,30,5,5,0.015,2000,3.5958166261361586
56,30,1,10,0.015,2000,38.13706093029768
57,30,10,20,0.015,2000,11.063119675352741
58,30,30,30,0.015,2000,9.745647858789544
59,30,1,40,0.015,2000,424.2551644733667
60,20,1,1,0.005,4000,5.669830482699856
61,20,5,5,0.005,4000,6.116233561988684
