,age,nombre_payment,maturite,taux,montant,prime
0,50,1,1,0.025,4000,22.72382972276918
1,50,5,5,0.025,4000,26.138801361626616
2,50,10,10,0.025,4000,31.05188283203778
3,50,10,20,0.025,4000,76.52854843485504
4,50,1,30,0.025,4000,1223.3463157465958
5,50,20,40,0.025,4000,125.49333586656928
6,50,1,1,0.005,2000,11.588022619820322
7,50,1,5,0.005,2000,65.2085559571313
8,50,10,10,0.005,2000,16.01258022864286
9,50,20,20,0.005,2000,24.514199292609845
10,50,30,30,0.005,2000,39.46931045650185
11,50,1,40,0.005,2000,1481.7972861551816
12,30,1,1,0.02,500,0.5709855210092795
13,30,1,5,0.02,500,2.984864721700803
14,30,5,10,0.02,500,1.4215322194268067
15,30,20,20,0.02,500,1.242503886625436
16,30,30,30,0.02,500,1.9314368050475068
17,30,20,40,0.02,500,4.66443671684388
18,20,1,1,0.0,500,0.5105083854793219
19,20,5,5,0.0,500,0.5221870468965789
20,20,10,10,0.0,500,0.5349097460420597
21,20,1,20,0.0,500,12.899182175675538
22,20,1,30,0.0,500,31.26232043752085
23,20,20,40,0.0,500,3.4349605073464633
24,40,1,1,0.015,2000,4.661883839656377
25,40,1,5,0.015,2000,28.044626145395938
26,40,5,10,0.015,2000,14.257832779102506
27,40,20,20,0.015,2000,11.205755096756882
28,40,30,30,0.015,2000,16.998506553498736
29,40,30,40,0.015,2000,30.507140061661115
30,50,1,1,0.015,2000,11.47385490927999
31,50,1,5,0.015,2000,63.234613300074955
32,50,1,10,0.015,2000,142.1312291767448
33,50,10,20,0.015,2000,41.25343384396213
34,50,20,30,0.015,2000,46.66534463791467
35,50,30,40,0.015,2000,57.859433063173235
36,40,1,1,0.01,1000,2.342481236263022
37,40,5,5,0.01,1000,2.923772020871709
38,40,5,10,0.01,1000,7.276627501032372
39,40,1,20,0.01,1000,99.18503388895982
40,40,1,30,0.01,1000,207.47158635425905
41,40,10,40,0.01,1000,41.036695925862304
42,30,1,1,0.025,4000,4.545601806278562
43,30,5,5,0.025,4000,4.956966657833994
44,30,10,10,0.025,4000,5.9497904482865245
45,30,5,20,0.025,4000,32.168020487124245
46,30,30,30,0.025,4000,14.94363311593046
47,30,20,40,0.025,4000,34.193601712020104
48,30,1,1,0.005,2000,2.318030771858334
49,30,1,5,0.005,2000,12.495926321070334
50,30,1,10,0.005,2000,29.76189255790789
51,30,1,20,0.005,2000,98.24082290855301
52,30,1,30,0.005,2000,227.46763280311484
53,30,40,40,0.005,2000,13.802704379316191
54,30,1,1,0.0,500,0.5824052314294472
55,30,1,5,0.0,500,3.17257586594462
56,30,5,10,0.0,500,1.5390241649892067
57,30,10,20,0.0,500,2.645362174933231
58,30,20,30,0.0,500,3.2228943975075945
59,30,40,40,0.0,500,3.633540286001684
60,20,1,1,0.0,1000,1.0210167709586437
61,20,5,5,0.0,1000,1.0443740937931578
62,20,5,10,0.0,1000,2.1313343156827353
63,20,10,20,0.0,1000,2.5976968066590604
64,20,10,30,0.0,1000,6.295750293568295
65,20,40,40,0.0,1000,3.554381100813036
66,20,1,1,0.015,8000,8.04742282529028
67,20,5,5,0.015,8000,8.230416816053832
68,20,1,10,0.015,8000,78.3006237977257
69,20,5,20,0.015,8000,35.93981919260486
70,20,10,30,0.015,8000,40.113848662817105
71,20,10,40,0.015,8000,76.78643540455155
72,50,1,1,0.005,4000,23.176045239640644
73,50,1,5,0.005,4000,130.4171119142626
74,50,1,10,0.005,4000,301.3735147567366
75,50,1,20,0.005,4000,839.6645849130249
76,50,1,30,0.005,4000,1773.2988560353995
77,50,5,40,0.005,4000,607.4705694510908
78,30,1,1,0.0,2000,2.329620925717789
79,30,5,5,0.0,2000,2.546926066511119
80,30,1,10,0.0,2000,30.673342188617553
81,30,1,20,0.0,2000,104.9146827424134
82,30,5,30,0.0,2000,50.577604270877806
83,30,20,40,0.0,2000,27.024016565023945
84,50,1,1,0.0,8000,46.58385093167701
85,50,5,5,0.0,8000,53.77000201323092
86,50,5,10,0.0,8000,126.02946092192644
87,50,5,20,0.0,8000,362.7330288857391
88,50,30,30,0.0,8000,163.5036284878306
89,50,1,40,0.0,8000,6752.242926155969
90,30,1,1,0.005,4000,4.636061543716668
91,30,5,5,0.005,4000,5.065897337798022
92,30,5,10,0.005,4000,12.06558748851699
93,30,10,20,0.005,4000,20.262699234653372
94,30,20,30,0.005,4000,24.379795697921463
95,30,5,40,0.005,4000,185.78971726944707
96,30,1,1,0.02,4000,4.567884168074236
97,30,1,5,0.02,4000,23.878917773606425
98,30,5,10,0.02,4000,11.372257755414454
99,30,1,20,0.02,4000,162.34769402793762
100,30,5,30,0.02,4000,70.64468503359102
101,30,5,40,0.02,4000,127.20123410934512
102,40,1,1,0.005,4000,9.416541487066715
103,40,1,5,0.005,4000,57.88502590224099
104,40,1,10,0.005,4000,146.20418934619005
105,40,20,20,0.005,4000,23.192736999789222
106,40,30,30,0.005,4000,36.25859384552391
107,40,40,40,0.005,4000,58.794592985932645
108,50,1,1,0.015,8000,45.89541963711996
109,50,1,5,0.015,8000,252.93845320029982
110,50,1,10,0.015,8000,568.5249167069792
111,50,10,20,0.015,8000,165.0137353758485
112,50,30,30,0.015,8000,147.2367729966274
113,50,5,40,0.015,8000,963.7287900563325
114,30,1,1,0.015,4000,4.590386060527583
115,30,1,5,0.015,4000,24.241271879123374
116,30,5,10,0.015,4000,11.59592105563679
117,30,1,20,0.015,4000,172.82763215339037
118,30,20,30,0.015,4000,21.856909605178007
119,30,1,40,0.015,4000,696.102155214278
120,20,1,1,0.025,4000,3.9844556915459273
121,20,1,5,0.025,4000,19.346732416522677
122,20,10,10,0.025,4000,4.16609931863442
123,20,20,20,0.025,4000,4.953539896454239
124,20,20,30,0.025,4000,9.845286547107582
125,20,10,40,0.025,4000,30.870491041756527
126,20,1,1,0.015,1000,1.005927853161285
127,20,1,5,0.015,1000,4.979417591888951
128,20,1,10,0.015,1000,9.787577974715713
129,20,10,20,0.015,1000,2.338546740700917
130,20,10,30,0.015,1000,5.014231082852138
131,20,10,40,0.015,1000,9.598304425568944
132,40,1,1,0.005,8000,18.83308297413343
133,40,5,5,0.005,8000,23.530970935583493
134,40,10,10,0.005,8000,30.38890934985286
135,40,5,20,0.005,8000,171.59148924344353
136,40,20,30,0.005,8000,100.53908681691823
137,40,1,40,0.005,8000,3539.2590795517876
139,30,5,5,0.0,500,0.6367315166277797
140,30,10,10,0.0,500,0.7734103281213051
141,30,1,20,0.0,500,26.22867068560335
142,30,5,30,0.0,500,12.644401067719452
143,30,5,40,0.0,500,26.50587187817187
144,50,1,1,0.005,1000,5.794011309910161
145,50,1,5,0.005,1000,32.60427797856565
146,50,10,10,0.005,1000,8.00629011432143
147,50,1,20,0.005,1000,209.91614622825622
148,50,1,30,0.005,1000,443.32471400884987
149,50,40,40,0.005,1000,29.907142487501826
150,20,1,1,0.0,4000,4.084067083834575
151,20,5,5,0.0,4000,4.177496375172631
152,20,5,10,0.0,4000,8.525337262730941
153,20,1,20,0.0,4000,103.1934574054043
154,20,5,30,0.0,4000,50.17051471930626
155,20,20,40,0.0,4000,27.479684058771706
156,20,1,1,0.015,2000,2.01185570632257
157,20,5,5,0.015,2000,2.057604204013458
158,20,5,10,0.015,2000,4.044441185388677
159,20,20,20,0.015,2000,2.5322430632552186
160,20,1,30,0.015,2000,93.2439994386227
